mean,std,variance,rms,min,max,range,low_freq_ratio,high_freq_ratio,label
0.025240000000000002,0.19365469888438028,0.037502142399999994,0.1952926009863149,-0.26,1.1,1.36,0.03135448164377092,0.10572864017590348,0
0.06889999999999999,0.2409402208017582,0.05805219,0.2505980845896472,-0.3,1.18,1.48,0.06698939609836771,0.10194997523556869,0
-0.06345999999999999,0.2150186698870589,0.04623302840000001,0.22418786764675738,-0.42,1.07,1.49,0.06993580556672846,0.08976097689508807,0
-0.03844,0.2081181549024496,0.0433131664,0.21163837081210013,-0.52,0.81,1.33,0.04523124639948023,0.08873597804445324,0
0.03934,0.1864225426282991,0.03475336439999999,0.19052821313390833,-0.27,0.92,1.19,0.05354510636623421,0.07499212453884828,0
0.021839999999999995,0.21970028311315395,0.0482682144,0.22078315153108943,-0.38,0.97,1.35,0.023802620512192164,0.0907619842315328,0
-0.08046,0.16047924601019287,0.025753588400000006,0.17951991532974831,-0.39,0.53,0.92,0.1200038719581693,0.0634769091743974,0
0.02932,0.2165611636466705,0.046898737600000004,0.21853695339690263,-0.33,0.83,1.16,0.03349108563822838,0.08221178636773936,0
-0.12552000000000002,0.7888327640254301,0.6222571295999999,0.7987567840087493,-1.01,4.09,5.1,0.04188972313106196,0.11732471628914377,0
-0.03266000000000001,0.5995487673242269,0.35945872439999993,0.6004376737014425,-0.87,4.36,5.23,0.013331545478945763,0.10659254832263547,0
0.09505999999999999,0.8847054856843604,0.7827037964,0.8897978422091167,-0.92,4.74,5.66,0.028303903794107535,0.10530600808605974,0
-0.019919999999999986,0.61771222555491,0.38156839360000006,0.6180333324344246,-0.89,4.45,5.34,0.007739888030117699,0.1024590780304298,0
0.04309999999999999,0.5586113049339405,0.3120465899999999,0.5602715413083196,-0.69,4.17,4.859999999999999,0.01904499052642327,0.10760968874185156,0
0.0972,0.8566846327558351,0.73390856,0.8621811874542381,-0.83,4.64,5.47,0.03155571076956212,0.08829478065339902,0
-0.022360000000000012,0.6248449650913417,0.39043123040000005,0.6252449120144841,-0.87,4.54,5.41,0.009006933668659069,0.10605073305664965,0
-0.01374000000000001,0.5310211035354433,0.28198341239999997,0.531198832830043,-0.83,3.88,4.71,0.006461224026298078,0.1127653050413871,0
0.11874,1.152601497656497,1.3284902124,1.158701600930973,-1.25,5.76,7.01,0.027781580018061584,0.09061009549712574,0
-0.13622000000000004,0.7927488326071506,0.6284507116,0.8043672047019321,-1.25,4.98,6.23,0.0420392112652263,0.08574313337467121,0
-0.012680000000000021,0.7988531890153534,0.6381664175999999,0.7989538159368162,-1.18,5.33,6.51,0.004320594572967329,0.09457690016516666,0
0.024660000000000012,1.1845634151027964,1.4031904844,1.184820070728041,-1.26,5.69,6.95,0.006215701599701284,0.1077410657273789,0
-0.04142,0.7565063010973536,0.5723017835999998,0.7576393601179917,-1.11,5.05,6.16,0.014015519333182104,0.09440118933726716,0
0.015119999999999998,0.7896266115069832,0.6235101856000002,0.7897713593186322,-1.1,5.31,6.41,0.005224509259996601,0.09683084853098574,0
0.09305999999999999,1.184200842931637,1.4023316363999998,1.187851758427793,-1.25,5.79,7.04,0.02220422912379174,0.09356735091140958,0
-0.060239999999999995,0.746123543657483,0.5567003424,0.7485514010407033,-1.01,4.98,5.99,0.02032851610682673,0.09179111903079709,0
-0.30075999999999997,0.22141685211383527,0.049025422400000004,0.3734728905824357,-0.65,0.67,1.32,0.27198892493326987,0.06179879588227296,0
-0.029239999999999995,0.2550400407779139,0.06504542240000001,0.2567107321480736,-0.49,0.9,1.3900000000000001,0.03603287006238088,0.06484652745112268,0
0.16564,0.14410062595283893,0.0207649904,0.21954862787091153,0.0,1.05,1.05,0.219571344837835,0.06555453295054185,0
0.08120000000000002,0.17391308173912623,0.030245759999999997,0.1919354058010142,-0.09,0.95,1.04,0.10348015123388071,0.09525632265134976,0
0.019159999999999996,0.13446670368533617,0.018081294400000003,0.13582488726297548,-0.14,0.91,1.05,0.03181614479102442,0.09270854016262216,0
0.02944,0.14055634599689903,0.019756086399999997,0.14360640654232662,-0.16,0.97,1.13,0.0490239428783705,0.08940306535495218,0
0.004620000000000001,0.16760446175445332,0.0280912556,0.16766812457947994,-0.21,0.91,1.12,0.007130449670634228,0.10129825423195285,0
0.02886,0.1586811280524562,0.0251797004,0.16128422117491842,-0.2,0.79,0.99,0.044110005483332534,0.08849797642862182,0
0.031580000000000004,0.421490336306777,0.17765410359999997,0.4226717402429455,-0.46,2.19,2.65,0.020005470966217055,0.10233509153267283,0
-0.00012000000000000011,0.2629897062624315,0.0691635856,0.26298973363992745,-0.36,1.9,2.26,0.00010923695527538741,0.10512032561723697,0
0.05011999999999999,0.40763462267084233,0.1661659856,0.4107042731698808,-0.43,2.1,2.5300000000000002,0.032123113030829674,0.10881765943008968,0
-0.010480000000000003,0.3317797004037468,0.1100777696,0.3319451761963111,-0.36,2.3,2.6599999999999997,0.00782278413791506,0.09672314235151314,0
-0.02136,0.29415939624632087,0.08652975040000001,0.2949338908976044,-0.45,2.07,2.52,0.017572505777008342,0.09309746763629982,0
0.020159999999999997,0.4241372117605339,0.1798923744,0.4246160618723696,-0.45,2.24,2.6900000000000004,0.012665958141443555,0.11190549544929544,0
-0.031619999999999995,0.35503517515874394,0.1260499756,0.35644045786077655,-0.51,2.35,2.8600000000000003,0.02116239590567557,0.09404584508148646,0
-0.022659999999999996,0.2707595324268381,0.0733107244,0.2717060912088649,-0.37,1.93,2.3,0.019903226817773186,0.10078633916046857,0
-0.07230000000000003,0.41807237411720954,0.17478451,0.4242779749173883,-0.67,2.64,3.31,0.043154267824919955,0.09333103654584633,0
-0.06060000000000001,0.5642832976440115,0.31841564000000006,0.5675279728788706,-0.67,2.63,3.3,0.030282733822975586,0.08913757472719326,0
0.09218000000000001,0.3365237697399695,0.1132482476,0.3489203347470594,-0.41,2.38,2.79,0.06477711567842842,0.09268083824980637,0
0.08746000000000001,0.5306955326738675,0.28163774839999994,0.5378540694277585,-0.63,2.74,3.37,0.04318512650671376,0.09605874182323358,0
-0.005320000000000015,0.4386297956135675,0.19239609760000004,0.4386620567133656,-0.69,2.65,3.34,0.0030434127382974368,0.08304423674360949,0
0.07926000000000002,0.3984922237635259,0.1587960524,0.40629816637538496,-0.52,2.7,3.22,0.049370489072582416,0.0903330925485516,0
-0.023419999999999993,0.4912764024457108,0.2413525036,0.49183432169786606,-0.58,2.37,2.95,0.010731909109472838,0.10541986769406432,0
-0.09564000000000002,0.4272139866624219,0.18251179039999998,0.4377885334268133,-0.64,2.69,3.33,0.048902653940088366,0.07351717579170701,0
-0.008200000000000002,0.1514171720776742,0.02292716,0.15163904510382542,-0.33,0.77,1.1,0.012627324042735194,0.0964378945767513,0
-0.0831,0.1559711191214579,0.024326990000000003,0.17672747381208165,-0.35,0.6,0.95,0.11363318855049516,0.07842445443592819,0
-0.023200000000000002,0.1294363163876352,0.01675376,0.1314990494262221,-0.25,0.8,1.05,0.039935598323654786,0.09947911732215425,0
0.030860000000000002,0.1798929137014574,0.0323614604,0.182520683759403,-0.24,0.96,1.2,0.03984183171746425,0.08831699142140723,0
0.0032199999999999937,0.13040027453958827,0.017004231599999996,0.13044002453234974,-0.25,0.75,1.0,0.006002548012734281,0.09818115722534822,0
0.0503,0.14970541072386126,0.022411709999999998,0.15792973120980103,-0.17,0.85,1.02,0.0639011345749745,0.06897681210688116,0
-0.008900000000000005,0.16775276450777196,0.028140989999999998,0.16798869009549422,-0.37,0.91,1.28,0.011637684955449997,0.08558147573082851,0
0.04202000000000001,0.12621774677120487,0.0159309196,0.13302856836033378,-0.22,0.77,0.99,0.07663636846959222,0.09173457329275743,0
-0.011800000000000012,0.4063003322666621,0.16507996000000003,0.40647164722770024,-0.6,2.84,3.44,0.007352784256601345,0.10195636260167824,0
0.047860000000000014,0.5670665043890355,0.3215644204,0.5690825950598033,-0.62,2.89,3.5100000000000002,0.022906649077362135,0.11617217340471021,0
